"Region","Age","Vaccination coverage"
"Abruzzo","9_14","2.8"
"Molise","9_14","3"
"Campania","9_14","4.6"
"Apulia","9_14","9.2"
"Basilicata","9_14","2.1"
"Calabria","9_14","9.8"
"Sicily","9_14","2.3"
"Sardinia","9_14","4.7"
"Italy","9_14","3.3"
"Piedmont","15_17","1.2"
"Aosta Valley","15_17","1.2"
"Lombardy","15_17","0.9"
"AP Bolzano","15_17","0.7"
"AP Trento","15_17","1.2"
"Veneto","15_17","2.2"
"Friuli-Venezia Giulia","15_17","1.4"
"Liguria","15_17","2.8"
"Emilia-Romagna","15_17","2.3"
"Tuscany","15_17","3.2"
"Umbria","15_17","0.9"
"Marche","15_17","2.2"
"Lazio","15_17","2.4"
"Abruzzo","15_17","2.9"
"Molise","15_17","2.7"
"Campania","15_17","4.9"
"Apulia","15_17","8.9"
"Basilicata","15_17","3.8"
"Calabria","15_17","15"
"Sicily","15_17","3.8"
"Sardinia","15_17","3.5"
"Italy","15_17","3.6"
"Piedmont","18_44","1.9"
"Aosta Valley","18_44","1.7"
"Lombardy","18_44","1.2"
"AP Bolzano","18_44","1.3"
"AP Trento","18_44","1.5"
"Veneto","18_44","2.8"
"Friuli-Venezia Giulia","18_44","2.6"
"Liguria","18_44","4.8"
"Emilia-Romagna","18_44","3.3"
"Tuscany","18_44","3.7"
"Umbria","18_44","2.1"
"Marche","18_44","2.7"
"Lazio","18_44","3.9"
"Abruzzo","18_44","2"
"Molise","18_44","4.3"
"Campania","18_44","4"
"Apulia","18_44","5.2"
"Basilicata","18_44","5.4"
"Calabria","18_44","10.7"
"Sicily","18_44","4.6"
"Sardinia","18_44","3.8"
"Italy","18_44","3.4"
"Piedmont","45_64","8.2"
"Aosta Valley","45_64","8.3"
"Lombardy","45_64","4.1"
"AP Bolzano","45_64","5.5"
"AP Trento","45_64","7.4"
"Veneto","45_64","10.8"
"Friuli-Venezia Giulia","45_64","10.3"
"Liguria","45_64","15.2"
"Emilia-Romagna","45_64","12.2"
"Tuscany","45_64","14"
"Umbria","45_64","10.9"
"Marche","45_64","11.6"
"Lazio","45_64","14.3"
"Abruzzo","45_64","9.6"
"Molise","45_64","21"
"Campania","45_64","16.2"
"Apulia","45_64","19.8"
"Basilicata","45_64","15.6"
"Calabria","45_64","22.8"
"Sicily","45_64","14.7"
"Sardinia","45_64","10.4"
"Italy","45_64","12"
"Piedmont",">= 65","55"
"Aosta Valley",">= 65","56.2"
"Lombardy",">= 65","57.9"
"AP Bolzano",">= 65","42.5"
"AP Trento",">= 65","62.2"
"Veneto",">= 65","67.1"
"Friuli-Venezia Giulia",">= 65","61.8"
"Liguria",">= 65","55.6"
"Emilia-Romagna",">= 65","64.7"
"Tuscany",">= 65","67.8"
"Umbria",">= 65","74"
"Marche",">= 65","62.2"
"Lazio",">= 65","62.2"
"Abruzzo",">= 65","59.7"
"Molise",">= 65","60.5"
"Campania",">= 65","73.1"
"Apulia",">= 65","69"
"Basilicata",">= 65","63.1"
"Calabria",">= 65","65.6"
"Sicily",">= 65","60.2"
"Sardinia",">= 65","57"
"Italy",">= 65","62.7"
"Piedmont","Total","15.7"
"Aosta Valley","Total","14.8"
"Lombardy","Total","13.4"
"AP Bolzano","Total","9.6"
"AP Trento","Total","14.9"
"Veneto","Total","17.8"
"Friuli-Venezia Giulia","Total","18.4"
"Liguria","Total","21"
"Emilia-Romagna","Total","19.2"
"Tuscany","Total","22.2"
"Umbria","Total","20.9"
"Marche","Total","18.4"
"Lazio","Total","18.1"
"Abruzzo","Total","16.5"
"Molise","Total","21.2"
"Campania","Total","18.5"
"Apulia","Total","21.9"
"Basilicata","Total","19.4"
"Calabria","Total","24.2"
"Sicily","Total","17.1"
"Sardinia","Total","16.2"
"Italy","Total","17.8"
