"flu_season","Region","elderly_population","total_population"
"2015-2016","Liguria","45.7","16.1"
"2015-2016","Lombardy","47.7","11.6"
"2015-2016","Marche","50.1","14.5"
"2015-2016","Molise","43.8","13.5"
"2015-2016","Piedmont","46.9","13.6"
"2015-2016","Sardinia","40","11.1"
"2015-2016","Sicily","49.5","13.3"
"2015-2016","Tuscany","52.2","16.5"
"2015-2016","Umbria","62.8","17.9"
"2015-2016","Veneto","54","14.6"
"2016-2017","Abruzzo","48.6","13.7"
"2016-2017","Aosta Valley","44.4","12.7"
"2016-2017","AP Bolzano","37.3","9"
"2016-2017","AP Trento","53.2","13.9"
"2016-2017","Apulia","57.4","18.1"
"2016-2017","Basilicata","49.8","15.9"
"2016-2017","Calabria","57.9","15.2"
"2016-2017","Campania","56.7","15.3"
"2016-2017","Emilia-Romagna","52.7","16.2"
"2016-2017","Friuli-Venezia Giulia","54.1","18.1"
"2016-2017","Lazio","51.5","14.9"
"2016-2017","Liguria","47.3","16.3"
"2016-2017","Lombardy","47.5","12.1"
"2016-2017","Marche","51","15.4"
"2016-2017","Molise","52.4","16.4"
"2016-2017","Piedmont","48.2","14.6"
"2016-2017","Sardinia","41.6","12.5"
"2016-2017","Sicily","52.9","15.7"
"2016-2017","Tuscany","54.8","18.1"
"2016-2017","Umbria","63.1","18.5"
"2016-2017","Veneto","55.8","15.8"
"2017-2018","Abruzzo","49.1","13.9"
"2017-2018","Aosta Valley","44.1","12.6"
"2017-2018","AP Bolzano","35.3","8.6"
"2017-2018","AP Trento","53.5","14"
"2017-2018","Apulia","59.4","18.9"
"2017-2018","Basilicata","53.2","16.2"
"2017-2018","Calabria","61.2","15.6"
"2017-2018","Campania","57.4","15.4"
"2017-2018","Emilia-Romagna","53.3","16.5"
"2017-2018","Friuli-Venezia Giulia","55.7","17.6"
"2017-2018","Lazio","51.8","15"
"2017-2018","Liguria","50.1","18.3"
"2017-2018","Lombardy","47.7","12.1"
"2017-2018","Marche","50","15.3"
"2017-2018","Molise","61","18.8"
"2017-2018","Piedmont","47.9","14.5"
"2017-2018","Sardinia","44","13.2"
"2017-2018","Sicily","54.3","15.8"
"2017-2018","Tuscany","55.3","18.4"
"2017-2018","Umbria","63.4","18.8"
"2017-2018","Veneto","55.1","15.7"
"2018-2019","Abruzzo","52.4","15.2"
"2018-2019","Aosta Valley","45.2","13.3"
"2018-2019","AP Bolzano","38.3","9.6"
"2018-2019","AP Trento","54.8","15"
"2018-2019","Apulia","51.4","17"
"2018-2019","Basilicata","66.6","18.8"
"2018-2019","Calabria","59.8","15.1"
"2018-2019","Campania","60.3","15.9"
"2018-2019","Emilia-Romagna","54.7","17.5"
"2018-2019","Friuli-Venezia Giulia","57.7","18.9"
"2018-2019","Lazio","52.3","15.5"
"2018-2019","Liguria","50.1","18.5"
"2018-2019","Lombardy","48.2","12.9"
"2018-2019","Marche","51.6","16.5"
"2018-2019","Molise","61.7","18.9"
"2018-2019","Piedmont","49","15.3"
"2018-2019","Sardinia","46.5","14.2"
"2018-2019","Sicily","53","16"
"2018-2019","Tuscany","56","19.1"
"2018-2019","Umbria","64.8","19.4"
"2018-2019","Veneto","55.6","16"
"2019-2020","Abruzzo","55.3","16.4"
"2019-2020","Aosta Valley","45.4","13.8"
"2019-2020","AP Bolzano","32.5","8.2"
"2019-2020","AP Trento","55.2","16"
"2019-2020","Apulia","51.4","17.8"
"2019-2020","Basilicata","60.7","17.3"
"2019-2020","Calabria","61.8","16.3"
"2019-2020","Campania","62.1","16.7"
"2019-2020","Emilia-Romagna","57.4","18.9"
"2019-2020","Friuli-Venezia Giulia","60.7","20.3"
"2019-2020","Lazio","52.7","16.2"
"2019-2020","Liguria","53","19.9"
"2019-2020","Lombardy","49.9","13.7"
"2019-2020","Marche","56.9","18.1"
"2019-2020","Molise","65.4","20"
"2019-2020","Piedmont","51","16.4"
"2019-2020","Sardinia","46.2","15.2"
"2019-2020","Sicily","59.4","18.1"
"2019-2020","Tuscany","56.4","20.1"
"2019-2020","Umbria","64.3","19.8"
"2019-2020","Veneto","53.9","16.3"
"2020-2021","Abruzzo","64.1","17.9"
"2020-2021","Aosta Valley","52.6","18.8"
"2020-2021","AP Bolzano","41.1","11.7"
"2020-2021","AP Trento","65.9","26.9"
"2020-2021","Apulia","61.1","25.6"
"2020-2021","Basilicata","56.4","19"
"2020-2021","Calabria","79","23.5"
"2020-2021","Campania","66.1","21.9"
"2020-2021","Emilia-Romagna","70.1","26.1"
"2020-2021","Friuli-Venezia Giulia","66.5","25.8"
"2020-2021","Lazio","67.7","27.5"
"2020-2021","Liguria","68.4","31.3"
"2020-2021","Lombardy","60.6","19.4"
"2020-2021","Marche","65","26.1"
"2020-2021","Molise","62.3","22.4"
"2020-2021","Piedmont","62.4","21.9"
"2020-2021","Sardinia","61","23.7"
"2020-2021","Sicily","75.3","26.5"
"2020-2021","Tuscany","65.5","28.2"
"2020-2021","Umbria","77.4","26.9"
"2020-2021","Veneto","59.6","21.6"
"2021-2022","Abruzzo","64.2","21.2"
"2021-2022","Aosta Valley","49.3","16.5"
"2021-2022","AP Bolzano","36.1","9.7"
"2021-2022","AP Trento","46.5","15.8"
"2021-2022","Apulia","58.2","24.9"
"2021-2022","Basilicata","68.5","22.4"
"2021-2022","Calabria","62.9","21.5"
"2021-2022","Campania","58.1","19.4"
"2021-2022","Emilia-Romagna","65.1","22.9"
"2021-2022","Friuli-Venezia Giulia","60.3","20.4"
"2021-2022","Lazio","61.2","22"
"2021-2022","Liguria","55.8","24.8"
"2021-2022","Lombardy","56","18.5"
"2021-2022","Marche","62.8","21.6"
"2021-2022","Molise","50.7","19.2"
"2021-2022","Piedmont","55.4","18.8"
"2021-2022","Sardinia","41.2","15.4"
"2021-2022","Sicily","63.7","22.4"
"2021-2022","Tuscany","58.4","21.8"
"2021-2022","Umbria","68.8","23.6"
"2021-2022","Veneto","51.8","17.7"
