"data","host","nuovi_casi","casi_totali"
2020-11-04,"zanzare",0,77
2021-07-21,"uomini",1,1
2021-07-25,"equidi",0,0
2021-07-25,"uccelli bersaglio",0,0
2021-07-25,"uccelli selvatici",0,0
2021-07-25,"zanzare",1,1
2021-07-28,"uomini",0,1
2021-07-28,"equidi",0,0
2021-07-28,"uccelli bersaglio",2,2
2021-07-28,"uccelli selvatici",0,0
2021-07-28,"zanzare",1,2
2021-08-04,"uomini",1,2
2021-08-04,"equidi",0,0
2021-08-04,"uccelli bersaglio",2,4
2021-08-04,"uccelli selvatici",0,0
2021-08-04,"zanzare",3,5
2021-08-11,"uomini",4,6
2021-08-11,"equidi",0,0
2021-08-11,"uccelli bersaglio",1,5
2021-08-11,"uccelli selvatici",1,1
2021-08-11,"zanzare",9,14
2021-08-18,"uomini",5,11
2021-08-18,"equidi",0,0
2021-08-18,"uccelli bersaglio",2,7
2021-08-18,"uccelli selvatici",0,1
2021-08-18,"zanzare",7,21
2021-08-25,"uomini",7,18
2021-08-25,"equidi",0,0
2021-08-25,"uccelli bersaglio",6,13
2021-08-25,"uccelli selvatici",0,1
2021-08-25,"zanzare",19,40
2021-09-01,"uomini",6,24
2021-09-01,"equidi",0,0
2021-09-01,"uccelli bersaglio",4,17
2021-09-01,"uccelli selvatici",9,10
2021-09-01,"zanzare",14,54
2021-09-08,"uomini",3,27
2021-09-08,"equidi",1,1
2021-09-08,"uccelli bersaglio",2,19
2021-09-08,"uccelli selvatici",2,12
2021-09-08,"zanzare",12,66
2021-09-15,"uomini",5,32
2021-09-15,"equidi",0,1
2021-09-15,"uccelli bersaglio",1,20
2021-09-15,"uccelli selvatici",4,16
2021-09-15,"zanzare",6,72
2021-09-22,"uomini",4,36
2021-09-22,"equidi",1,2
2021-09-22,"uccelli bersaglio",0,20
2021-09-22,"uccelli selvatici",0,16
2021-09-22,"zanzare",0,72
2021-09-29,"uomini",9,45
2021-09-29,"equidi",0,2
2021-09-29,"uccelli bersaglio",6,26
2021-09-29,"uccelli selvatici",4,20
2021-09-29,"zanzare",0,72
2021-10-06,"uomini",7,52
2021-10-06,"equidi",0,2
2021-10-06,"uccelli bersaglio",1,27
2021-10-06,"uccelli selvatici",0,20
2021-10-06,"zanzare",0,72
2021-10-13,"uomini",0,52
2021-10-13,"equidi",2,4
2021-10-13,"uccelli bersaglio",1,28
2021-10-13,"uccelli selvatici",1,21
2021-10-13,"zanzare",1,73
2021-10-20,"uomini",2,54
2021-10-20,"equidi",0,4
2021-10-20,"uccelli bersaglio",0,28
2021-10-20,"uccelli selvatici",0,21
2021-10-20,"zanzare",1,74
2021-10-27,"uomini",0,54
