"Region","Age","Vaccination coverage"
"Emilia-Romagna","18_44","2.1"
"Tuscany","18_44","2"
"Umbria","18_44","1.3"
"Marche","18_44","1.6"
"Lazio","18_44","2.4"
"Abruzzo","18_44","1"
"Molise","18_44","1.6"
"Campania","18_44","2.7"
"Apulia","18_44","2.4"
"Basilicata","18_44","1.8"
"Calabria","18_44","1.9"
"Sicily","18_44","2.1"
"Sardinia","18_44","1.7"
"Italy","18_44","1.8"
"Piedmont","45_64","5.7"
"Aosta Valley","45_64","5.6"
"Lombardy","45_64","3.3"
"AP Bolzano","45_64","4.3"
"AP Trento","45_64","5.3"
"Veneto","45_64","7.3"
"Friuli-Venezia Giulia","45_64","7.4"
"Liguria","45_64","8.4"
"Emilia-Romagna","45_64","8.6"
"Tuscany","45_64","8.5"
"Umbria","45_64","7"
"Marche","45_64","7"
"Lazio","45_64","9.5"
"Abruzzo","45_64","5.3"
"Molise","45_64","9.3"
"Campania","45_64","11.6"
"Apulia","45_64","10.8"
"Basilicata","45_64","10.3"
"Calabria","45_64","8.6"
"Sicily","45_64","9.3"
"Sardinia","45_64","5.6"
"Italy","45_64","7.7"
"Piedmont",">= 65","46.9"
"Aosta Valley",">= 65","42.2"
"Lombardy",">= 65","47.7"
"AP Bolzano",">= 65","37.8"
"AP Trento",">= 65","50.2"
"Veneto",">= 65","54"
"Friuli-Venezia Giulia",">= 65","51.1"
"Liguria",">= 65","45.7"
"Emilia-Romagna",">= 65","51.9"
"Tuscany",">= 65","52.2"
"Umbria",">= 65","62.8"
"Marche",">= 65","50.1"
"Lazio",">= 65","51"
"Abruzzo",">= 65","45.7"
"Molise",">= 65","43.8"
"Campania",">= 65","52.8"
"Apulia",">= 65","50.8"
"Basilicata",">= 65","47.9"
"Calabria",">= 65","51.7"
"Sicily",">= 65","49.5"
"Sardinia",">= 65","40"
"Italy",">= 65","49.9"
"Piedmont","Total","13.6"
"Aosta Valley","Total","11.7"
"Lombardy","Total","11.6"
"AP Bolzano","Total","8.8"
"AP Trento","Total","12.5"
"Veneto","Total","14.6"
"Friuli-Venezia Giulia","Total","15.6"
"Liguria","Total","16.1"
"Emilia-Romagna","Total","15.5"
"Tuscany","Total","16.5"
"Umbria","Total","17.9"
"Marche","Total","14.5"
"Lazio","Total","14.3"
"Abruzzo","Total","12.3"
"Molise","Total","13.5"
"Campania","Total","14"
"Apulia","Total","14.9"
"Basilicata","Total","14.2"
"Calabria","Total","13.7"
"Sicily","Total","13.3"
"Sardinia","Total","11.1"
"Italy","Total","13.9"
