"data","codice_regione","denominazione_regione","codice_provincia","denominazione_provincia","sigla_provincia","lat","long","nuovi_casi","casi_totali"
2018-07-18,3,"Lombardia",20,"Mantova","MN",45.15726772,10.79277363,4,4
2018-07-18,8,"Emilia-Romagna",36,"Modena","MO",44.64600009,10.92615487,3,3
2018-07-18,5,"Veneto",28,"Padova","PD",45.40692987,11.87608718,1,1
2018-07-18,8,"Emilia-Romagna",35,"Reggio nell'Emilia","RE",44.69735289,10.63007973,0,2
2018-07-18,5,"Veneto",29,"Rovigo","RO",45.07107289,11.79007,7,7
2018-07-18,5,"Veneto",26,"Treviso","TV",45.66754571,12.24507363,3,4
2018-07-18,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,4,5
2018-07-18,5,"Veneto",23,"Verona","VR",45.43839046,10.99352685,11,13
2018-07-18,5,"Veneto",24,"Vicenza","VI",45.547497,11.54597109,2,2
2018-07-25,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,0,9
2018-07-25,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,12,21
2018-07-25,8,"Emilia-Romagna",40,"Forlì-Cesena","FC",44.22268559,12.04068608,1,1
2018-07-25,3,"Lombardia",20,"Mantova","MN",45.15726772,10.79277363,0,4
2018-07-25,8,"Emilia-Romagna",36,"Modena","MO",44.64600009,10.92615487,0,3
2018-07-25,5,"Veneto",28,"Padova","PD",45.40692987,11.87608718,2,3
2018-07-25,8,"Emilia-Romagna",33,"Piacenza","PC",45.05193462,9.692632596,1,1
2018-07-25,8,"Emilia-Romagna",35,"Reggio nell'Emilia","RE",44.69735289,10.63007973,5,7
2018-07-25,5,"Veneto",29,"Rovigo","RO",45.07107289,11.79007,4,11
2018-07-25,5,"Veneto",26,"Treviso","TV",45.66754571,12.24507363,1,5
2018-07-25,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,5,10
2018-07-25,1,"Piemonte",2,"Vercelli","VC",45.32398135,8.423234312,1,1
2018-07-25,5,"Veneto",23,"Verona","VR",45.43839046,10.99352685,0,13
2018-07-25,5,"Veneto",24,"Vicenza","VI",45.547497,11.54597109,0,2
2018-08-01,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,0,9
2018-08-01,3,"Lombardia",17,"Brescia","BS",45.53993052,10.21910323,1,1
2018-08-01,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,2,23
2018-08-01,8,"Emilia-Romagna",40,"Forlì-Cesena","FC",44.22268559,12.04068608,0,1
2018-08-01,3,"Lombardia",20,"Mantova","MN",45.15726772,10.79277363,0,4
2018-08-01,8,"Emilia-Romagna",36,"Modena","MO",44.64600009,10.92615487,0,3
2018-08-01,5,"Veneto",28,"Padova","PD",45.40692987,11.87608718,2,5
2018-08-01,8,"Emilia-Romagna",33,"Piacenza","PC",45.05193462,9.692632596,0,1
2018-08-01,8,"Emilia-Romagna",35,"Reggio nell'Emilia","RE",44.69735289,10.63007973,0,7
2018-08-01,5,"Veneto",29,"Rovigo","RO",45.07107289,11.79007,6,17
2018-08-01,5,"Veneto",26,"Treviso","TV",45.66754571,12.24507363,0,5
2018-08-01,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,9,19
2018-08-01,1,"Piemonte",2,"Vercelli","VC",45.32398135,8.423234312,0,1
2018-08-01,5,"Veneto",23,"Verona","VR",45.43839046,10.99352685,2,15
2018-08-01,5,"Veneto",24,"Vicenza","VI",45.547497,11.54597109,0,2
2018-08-08,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,17,26
2018-08-08,3,"Lombardia",17,"Brescia","BS",45.53993052,10.21910323,0,1
2018-08-08,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,6,29
2018-08-08,8,"Emilia-Romagna",40,"Forlì-Cesena","FC",44.22268559,12.04068608,0,1
2018-08-08,3,"Lombardia",20,"Mantova","MN",45.15726772,10.79277363,0,4
2018-08-08,8,"Emilia-Romagna",36,"Modena","MO",44.64600009,10.92615487,10,13
2018-08-08,5,"Veneto",28,"Padova","PD",45.40692987,11.87608718,0,5
2018-08-08,8,"Emilia-Romagna",34,"Parma","PR",44.80107394,10.32834985,5,5
2018-08-08,8,"Emilia-Romagna",33,"Piacenza","PC",45.05193462,9.692632596,0,1
2018-08-08,6,"Friuli Venezia Giulia",93,"Pordenone","PN",45.95443546,12.66002909,1,1
2018-08-08,8,"Emilia-Romagna",35,"Reggio nell'Emilia","RE",44.69735289,10.63007973,1,8
2018-08-08,5,"Veneto",29,"Rovigo","RO",45.07107289,11.79007,10,27
2018-08-08,5,"Veneto",26,"Treviso","TV",45.66754571,12.24507363,0,5
2018-08-08,6,"Friuli Venezia Giulia",30,"Udine","UD",46.06255516,13.2348383,1,1
2018-08-08,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,6,25
2018-08-08,1,"Piemonte",2,"Vercelli","VC",45.32398135,8.423234312,0,1
2018-08-08,5,"Veneto",23,"Verona","VR",45.43839046,10.99352685,2,17
2018-08-08,5,"Veneto",24,"Vicenza","VI",45.547497,11.54597109,1,3
2018-08-22,1,"Piemonte",6,"Alessandria","AL",44.91297351,8.615401155,1,1
2018-08-22,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,7,33
2018-08-22,3,"Lombardia",17,"Brescia","BS",45.53993052,10.21910323,1,2
2018-08-22,1,"Piemonte",4,"Cuneo","CN",44.39329625,7.551171632,1,1
2018-08-22,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,21,50
2018-08-22,8,"Emilia-Romagna",40,"Forlì-Cesena","FC",44.22268559,12.04068608,0,1
2018-08-22,3,"Lombardia",20,"Mantova","MN",45.15726772,10.79277363,1,5
2018-08-22,8,"Emilia-Romagna",36,"Modena","MO",44.64600009,10.92615487,4,17
2018-08-22,1,"Piemonte",3,"Novara","NO",45.44588506,8.621915884,2,2
2018-08-22,5,"Veneto",28,"Padova","PD",45.40692987,11.87608718,0,5
2018-08-22,8,"Emilia-Romagna",34,"Parma","PR",44.80107394,10.32834985,2,7
2018-08-22,8,"Emilia-Romagna",33,"Piacenza","PC",45.05193462,9.692632596,1,2
2018-08-22,6,"Friuli Venezia Giulia",93,"Pordenone","PN",45.95443546,12.66002909,0,1
2018-08-22,8,"Emilia-Romagna",39,"Ravenna","RA",44.41722493,12.19913936,3,3
2018-08-22,8,"Emilia-Romagna",35,"Reggio nell'Emilia","RE",44.69735289,10.63007973,8,16
2018-08-22,5,"Veneto",29,"Rovigo","RO",45.07107289,11.79007,8,35
2018-08-22,5,"Veneto",26,"Treviso","TV",45.66754571,12.24507363,1,6
2018-08-22,6,"Friuli Venezia Giulia",30,"Udine","UD",46.06255516,13.2348383,0,1
2018-08-22,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,11,36
2018-08-22,1,"Piemonte",2,"Vercelli","VC",45.32398135,8.423234312,1,2
2018-08-22,5,"Veneto",23,"Verona","VR",45.43839046,10.99352685,4,21
2018-08-22,5,"Veneto",24,"Vicenza","VI",45.547497,11.54597109,1,4
2018-08-29,1,"Piemonte",6,"Alessandria","AL",44.91297351,8.615401155,0,1
2018-08-29,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,0,33
2018-08-29,3,"Lombardia",17,"Brescia","BS",45.53993052,10.21910323,0,2
2018-08-29,1,"Piemonte",4,"Cuneo","CN",44.39329625,7.551171632,0,1
2018-08-29,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,2,52
2018-08-29,8,"Emilia-Romagna",40,"Forlì-Cesena","FC",44.22268559,12.04068608,1,2
2018-08-29,3,"Lombardia",20,"Mantova","MN",45.15726772,10.79277363,0,5
2018-08-29,8,"Emilia-Romagna",36,"Modena","MO",44.64600009,10.92615487,4,21
2018-08-29,1,"Piemonte",3,"Novara","NO",45.44588506,8.621915884,0,2
2018-08-29,5,"Veneto",28,"Padova","PD",45.40692987,11.87608718,0,5
2018-08-29,8,"Emilia-Romagna",34,"Parma","PR",44.80107394,10.32834985,2,9
2018-08-29,3,"Lombardia",18,"Pavia","PV",45.18509264,9.160157191,5,5
2018-08-29,8,"Emilia-Romagna",33,"Piacenza","PC",45.05193462,9.692632596,0,2
2018-08-29,6,"Friuli Venezia Giulia",93,"Pordenone","PN",45.95443546,12.66002909,0,1
2018-08-29,8,"Emilia-Romagna",39,"Ravenna","RA",44.41722493,12.19913936,0,3
2018-08-29,8,"Emilia-Romagna",35,"Reggio nell'Emilia","RE",44.69735289,10.63007973,0,16
2018-08-29,5,"Veneto",29,"Rovigo","RO",45.07107289,11.79007,0,35
2018-08-29,20,"Sardegna",90,"Sassari","SS",40.72667657,8.559667131,1,1
2018-08-29,5,"Veneto",26,"Treviso","TV",45.66754571,12.24507363,0,6
2018-08-29,6,"Friuli Venezia Giulia",30,"Udine","UD",46.06255516,13.2348383,0,1
2018-08-29,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,0,36
2018-08-29,1,"Piemonte",2,"Vercelli","VC",45.32398135,8.423234312,0,2
2018-08-29,5,"Veneto",23,"Verona","VR",45.43839046,10.99352685,0,21
2018-08-29,5,"Veneto",24,"Vicenza","VI",45.547497,11.54597109,0,4
2018-09-05,1,"Piemonte",6,"Alessandria","AL",44.91297351,8.615401155,0,1
2018-09-05,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,2,35
2018-09-05,3,"Lombardia",17,"Brescia","BS",45.53993052,10.21910323,0,2
2018-09-05,1,"Piemonte",4,"Cuneo","CN",44.39329625,7.551171632,0,1
2018-09-05,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,8,60
2018-09-05,8,"Emilia-Romagna",40,"Forlì-Cesena","FC",44.22268559,12.04068608,0,2
2018-09-05,3,"Lombardia",20,"Mantova","MN",45.15726772,10.79277363,5,10
2018-09-05,8,"Emilia-Romagna",36,"Modena","MO",44.64600009,10.92615487,8,29
2018-09-05,1,"Piemonte",3,"Novara","NO",45.44588506,8.621915884,0,2
2018-09-05,5,"Veneto",28,"Padova","PD",45.40692987,11.87608718,0,5
2018-09-05,8,"Emilia-Romagna",34,"Parma","PR",44.80107394,10.32834985,0,9
2018-09-05,3,"Lombardia",18,"Pavia","PV",45.18509264,9.160157191,0,5
2018-09-05,8,"Emilia-Romagna",33,"Piacenza","PC",45.05193462,9.692632596,0,2
