"data_bulletin","region_name","region_code","lat","long","cases","cumulative"
2022-07-12,"Campania",15,40.83956555,14.25084984,0,1
2022-07-12,"Emilia-Romagna",8,44.49436681,11.3417208,3,34
2022-07-12,"Friuli-Venezia Giulia",6,45.6494354,13.76813649,0,4
2022-07-12,"Lazio",12,41.89277044,12.48366722,14,66
2022-07-12,"Liguria",7,44.41149315,8.9326992,1,2
2022-07-12,"Lombardia",3,45.46679409,9.190347404,12,147
2022-07-12,"Marche",11,43.61675973,13.5188753,0,1
2022-07-12,"Molise",14,41.55774754,14.65916051,0,0
2022-07-12,"Piemonte",1,45.0732745,7.680687483,0,6
2022-07-12,"Puglia",16,41.12559576,16.86736689,1,7
2022-07-12,"Sardegna",20,39.21531192,9.110616306,0,0
2022-07-12,"Sicilia",19,38.11569725,13.3623567,0,0
2022-07-12,"Toscana",9,43.76923077,11.25588885,1,4
2022-07-12,"PA Bolzano",21,46.49933453,11.35662422,0,1
2022-07-12,"PA Trento",22,46.06893511,11.12123097,0,1
2022-07-12,"Umbria",10,43.10675841,12.38824698,0,0
2022-07-12,"Valle d'Aosta",2,45.73750286,7.320149366,0,0
2022-07-12,"Veneto",5,45.43490485,12.33845213,5,18
2022-07-15,"Basilicata",17,40.63947052,15.80514834,0,0
2022-07-15,"Calabria",18,38.90597598,16.59440194,0,0
2022-07-15,"Campania",15,40.83956555,14.25084984,2,3
2022-07-15,"Emilia-Romagna",8,44.49436681,11.3417208,8,42
2022-07-15,"Friuli-Venezia Giulia",6,45.6494354,13.76813649,2,6
2022-07-15,"Lazio",12,41.89277044,12.48366722,5,71
2022-07-15,"Liguria",7,44.41149315,8.9326992,3,5
2022-07-15,"Lombardia",3,45.46679409,9.190347404,17,164
2022-07-15,"Marche",11,43.61675973,13.5188753,1,2
2022-07-15,"Molise",14,41.55774754,14.65916051,0,0
2022-07-15,"Piemonte",1,45.0732745,7.680687483,0,6
2022-07-15,"Puglia",16,41.12559576,16.86736689,0,7
2022-07-15,"Sardegna",20,39.21531192,9.110616306,0,0
2022-07-15,"Sicilia",19,38.11569725,13.3623567,2,2
2022-07-15,"Toscana",9,43.76923077,11.25588885,3,7
2022-07-15,"PA Bolzano",21,46.49933453,11.35662422,0,1
2022-07-15,"PA Trento",22,46.06893511,11.12123097,0,1
2022-07-15,"Umbria",10,43.10675841,12.38824698,0,0
2022-07-15,"Valle d'Aosta",2,45.73750286,7.320149366,0,0
2022-07-15,"Veneto",5,45.43490485,12.33845213,4,22
2022-07-19,"Basilicata",17,40.63947052,15.80514834,0,0
2022-07-19,"Calabria",18,38.90597598,16.59440194,0,0
2022-07-19,"Campania",15,40.83956555,14.25084984,0,3
2022-07-19,"Emilia-Romagna",8,44.49436681,11.3417208,2,44
2022-07-19,"Friuli-Venezia Giulia",6,45.6494354,13.76813649,1,7
2022-07-19,"Lazio",12,41.89277044,12.48366722,9,80
2022-07-19,"Liguria",7,44.41149315,8.9326992,3,8
2022-07-19,"Lombardia",3,45.46679409,9.190347404,11,175
2022-07-19,"Marche",11,43.61675973,13.5188753,0,2
2022-07-19,"Molise",14,41.55774754,14.65916051,0,0
2022-07-19,"Piemonte",1,45.0732745,7.680687483,1,7
2022-07-19,"Puglia",16,41.12559576,16.86736689,0,7
2022-07-19,"Sardegna",20,39.21531192,9.110616306,0,0
2022-07-19,"Sicilia",19,38.11569725,13.3623567,0,2
2022-07-19,"Toscana",9,43.76923077,11.25588885,2,9
2022-07-19,"PA Bolzano",21,46.49933453,11.35662422,0,1
2022-07-19,"PA Trento",22,46.06893511,11.12123097,1,2
2022-07-19,"Umbria",10,43.10675841,12.38824698,0,0
2022-07-19,"Valle d'Aosta",2,45.73750286,7.320149366,0,0
2022-07-19,"Veneto",5,45.43490485,12.33845213,5,27
2022-07-22,"Basilicata",17,40.63947052,15.80514834,0,0
2022-07-22,"Calabria",18,38.90597598,16.59440194,0,0
2022-07-22,"Campania",15,40.83956555,14.25084984,0,3
2022-07-22,"Emilia-Romagna",8,44.49436681,11.3417208,3,47
2022-07-22,"Friuli-Venezia Giulia",6,45.6494354,13.76813649,1,8
2022-07-22,"Lazio",12,41.89277044,12.48366722,8,88
2022-07-22,"Liguria",7,44.41149315,8.9326992,0,8
2022-07-22,"Lombardia",3,45.46679409,9.190347404,16,191
2022-07-22,"Marche",11,43.61675973,13.5188753,0,2
2022-07-22,"Molise",14,41.55774754,14.65916051,0,0
2022-07-22,"Piemonte",1,45.0732745,7.680687483,0,7
2022-07-22,"Puglia",16,41.12559576,16.86736689,1,8
2022-07-22,"Sardegna",20,39.21531192,9.110616306,0,0
2022-07-22,"Sicilia",19,38.11569725,13.3623567,0,2
2022-07-22,"Toscana",9,43.76923077,11.25588885,0,9
2022-07-22,"PA Bolzano",21,46.49933453,11.35662422,0,1
2022-07-22,"PA Trento",22,46.06893511,11.12123097,0,2
2022-07-22,"Umbria",10,43.10675841,12.38824698,0,0
2022-07-22,"Valle d'Aosta",2,45.73750286,7.320149366,0,0
2022-07-22,"Veneto",5,45.43490485,12.33845213,4,31
2022-07-26,"Basilicata",17,40.63947052,15.80514834,0,0
2022-07-26,"Calabria",18,38.90597598,16.59440194,0,0
2022-07-26,"Campania",15,40.83956555,14.25084984,1,4
2022-07-26,"Emilia-Romagna",8,44.49436681,11.3417208,2,49
2022-07-26,"Friuli-Venezia Giulia",6,45.6494354,13.76813649,1,9
2022-07-26,"Lazio",12,41.89277044,12.48366722,2,90
2022-07-26,"Liguria",7,44.41149315,8.9326992,0,8
2022-07-26,"Lombardia",3,45.46679409,9.190347404,6,197
2022-07-26,"Marche",11,43.61675973,13.5188753,0,2
2022-07-26,"Molise",14,41.55774754,14.65916051,0,0
2022-07-26,"Piemonte",1,45.0732745,7.680687483,3,10
2022-07-26,"Puglia",16,41.12559576,16.86736689,0,8
2022-07-26,"Sardegna",20,39.21531192,9.110616306,0,0
2022-07-26,"Sicilia",19,38.11569725,13.3623567,0,2
2022-07-26,"Toscana",9,43.76923077,11.25588885,3,12
2022-07-26,"PA Bolzano",21,46.49933453,11.35662422,0,1
2022-07-26,"PA Trento",22,46.06893511,11.12123097,1,3
2022-07-26,"Umbria",10,43.10675841,12.38824698,0,0
2022-07-26,"Valle d'Aosta",2,45.73750286,7.320149366,0,0
2022-07-26,"Veneto",5,45.43490485,12.33845213,0,31
2022-07-29,"Basilicata",17,40.63947052,15.80514834,0,0
2022-07-29,"Calabria",18,38.90597598,16.59440194,0,0
2022-07-29,"Campania",15,40.83956555,14.25084984,2,6
2022-07-29,"Emilia-Romagna",8,44.49436681,11.3417208,6,55
2022-07-29,"Friuli-Venezia Giulia",6,45.6494354,13.76813649,0,9
2022-07-29,"Lazio",12,41.89277044,12.48366722,11,101
2022-07-29,"Liguria",7,44.41149315,8.9326992,0,8
2022-07-29,"Lombardia",3,45.46679409,9.190347404,19,216
2022-07-29,"Marche",11,43.61675973,13.5188753,0,2
2022-07-29,"Molise",14,41.55774754,14.65916051,0,0
2022-07-29,"Piemonte",1,45.0732745,7.680687483,8,18
2022-07-29,"Puglia",16,41.12559576,16.86736689,0,8
2022-07-29,"Sardegna",20,39.21531192,9.110616306,0,0
2022-07-29,"Sicilia",19,38.11569725,13.3623567,0,2
2022-07-29,"Toscana",9,43.76923077,11.25588885,4,16
