"Region","Age","Vaccination coverage"
"Liguria","15_17","4.5"
"Emilia-Romagna","15_17","1.6"
"Tuscany","15_17","2"
"Umbria","15_17","0.7"
"Marche","15_17","1.4"
"Lazio","15_17","1.9"
"Abruzzo","15_17","1.3"
"Molise","15_17","1.4"
"Campania","15_17","4.1"
"Apulia","15_17","5.4"
"Basilicata","15_17","1.4"
"Calabria","15_17","2.2"
"Sicily","15_17","1.6"
"Sardinia","15_17","2.4"
"Italy","15_17","2.1"
"Piedmont","18_44","1.6"
"Aosta Valley","18_44","1.2"
"Lombardy","18_44","0.8"
"AP Bolzano","18_44","0.9"
"AP Trento","18_44","1.5"
"Veneto","18_44","2.2"
"Friuli-Venezia Giulia","18_44","1.9"
"Liguria","18_44","3.1"
"Emilia-Romagna","18_44","2.2"
"Tuscany","18_44","2.4"
"Umbria","18_44","1.6"
"Marche","18_44","1.9"
"Lazio","18_44","3.1"
"Abruzzo","18_44","1.3"
"Molise","18_44","1.8"
"Campania","18_44","2.9"
"Apulia","18_44","3"
"Basilicata","18_44","2.4"
"Calabria","18_44","1.9"
"Sicily","18_44","2.5"
"Sardinia","18_44","2.6"
"Italy","18_44","2.1"
"Piedmont","45_64","7.2"
"Aosta Valley","45_64","6.1"
"Lombardy","45_64","3.5"
"AP Bolzano","45_64","4.1"
"AP Trento","45_64","6.6"
"Veneto","45_64","8.7"
"Friuli-Venezia Giulia","45_64","8.4"
"Liguria","45_64","11.2"
"Emilia-Romagna","45_64","9.3"
"Tuscany","45_64","10.1"
"Umbria","45_64","8.4"
"Marche","45_64","9"
"Lazio","45_64","11.6"
"Abruzzo","45_64","5.7"
"Molise","45_64","10.2"
"Campania","45_64","12.4"
"Apulia","45_64","15"
"Basilicata","45_64","14.6"
"Calabria","45_64","8.3"
"Sicily","45_64","9.7"
"Sardinia","45_64","8.7"
"Italy","45_64","9"
"Piedmont",">= 65","51.6"
"Aosta Valley",">= 65","47"
"Lombardy",">= 65","48.2"
"AP Bolzano",">= 65","35.8"
"AP Trento",">= 65","56.3"
"Veneto",">= 65","58.9"
"Friuli-Venezia Giulia",">= 65","55.2"
"Liguria",">= 65","41.6"
"Emilia-Romagna",">= 65","56.3"
"Tuscany",">= 65","58.9"
"Umbria",">= 65","67.9"
"Marche",">= 65","54.9"
"Lazio",">= 65","56.8"
"Abruzzo",">= 65","50.3"
"Molise",">= 65","49.4"
"Campania",">= 65","61.4"
"Apulia",">= 65","57.2"
"Basilicata",">= 65","58.6"
"Calabria",">= 65","49.8"
"Sicily",">= 65","54"
"Sardinia",">= 65","47.3"
"Italy",">= 65","54.2"
"Piedmont","Total","14.8"
"Aosta Valley","Total","12.3"
"Lombardy","Total","11.4"
"AP Bolzano","Total","8.1"
"AP Trento","Total","13.7"
"Veneto","Total","15.6"
"Friuli-Venezia Giulia","Total","16.3"
"Liguria","Total","15.8"
"Emilia-Romagna","Total","16.4"
"Tuscany","Total","18.5"
"Umbria","Total","18.9"
"Marche","Total","15.9"
"Lazio","Total","16.1"
"Abruzzo","Total","13.2"
"Molise","Total","14.6"
"Campania","Total","15.2"
"Apulia","Total","17.2"
"Basilicata","Total","17.1"
"Calabria","Total","12.7"
"Sicily","Total","13.9"
"Sardinia","Total","13.4"
"Italy","Total","14.9"
